utterance,intent,word_count,language,framework,error_type,language.1,framework.1,error_type.1,language.2,framework.2,error_type.2,language.3,framework.3,error_type.3,language.4,framework.4,error_type.4,processed,label
fix the null pointer exception in login service,debug,8,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer,fix null pointer exception login service,0
fix the null pointer,debug,4,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer,fix null pointer,0
login service null pointer,debug,4,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer,login service null pointer,0
null pointer exception,debug,3,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer,null pointer exception,0
can you fix the null pointer in the login service,debug,10,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer,fix null pointer login service,0
i need to fix the null pointer in my login service,debug,11,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer,need fix null pointer login service,0
fixing the null pointer in the login service with docker,debug,10,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer,fix null pointer login service docker,0
the login service has a null pointer exception in java,debug,10,java,,null pointer,java,,null pointer,java,,null pointer,java,,null pointer,java,,null pointer,login service null pointer exception java,0
how do i fix the null pointer exception in the login service,debug,12,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer,how fix null pointer exception login service,0
um i have a null pointer exception in my login service using go,debug,13,go,,null pointer,go,,null pointer,go,,null pointer,go,,null pointer,go,,null pointer,null pointer exception login service use go,0
i am getting a null pointer exception when i try to login to the service,debug,15,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer,get null pointer exception when try login service,0
the null pointer exception in the login service is caused by a postgres issue,debug,14,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer,null pointer exception login service cause postgres issue,0
every time i try to log in the service throws a null pointer and i have no clue why,debug,19,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer,every time try log service throw null pointer no clue why,0
okay so i am trying to debug this null pointer exception in the login service but it is not working with docker and java,debug,24,java,,null pointer,java,,null pointer,java,,null pointer,java,,null pointer,java,,null pointer,try debug null pointer exception login service not work docker java,0
i dont know what is going on but like every time i try to login it throws a null pointer exception and i am using go and postgres and it is just really frustrating,debug,34,go,,null pointer,go,,null pointer,go,,null pointer,go,,null pointer,go,,null pointer,dont know what go every time try login throw null pointer exception use go postgres really frustrate,0
why is my authentication module throwing a 403 error,debug,9,,,403,,,403,,,403,,,403,,,403,why authentication module throw 403 error,0
fix auth error,debug,3,,,,,,,,,,,,,,,,fix auth error,0
